Structure,c11,c12,c44,G,B,E_VRH,nu,Cohesive_energy
39,228.49703,147.75322,107.9616467,72.76259428,174.6678233,191.6723529,0.317107745,-4.333165229
40,230.88506,145.0149067,106.1928467,73.81662311,173.6382911,193.9640516,0.313823658,-4.342282686
41,229.23393,146.9724967,106.7908533,72.83760656,174.3929744,191.8089449,0.31668896,-4.337044674
42,229.4311633,146.9245233,107.6829967,73.28225503,174.4267367,192.8405962,0.315738688,-4.338019705
43,219.93165,146.3056833,103.62235,68.43389999,170.8476722,181.1189905,0.323313376,-4.243654209
44,222.2527867,145.2457633,104.6445533,70.07311202,170.9147711,184.9443143,0.319652496,-4.24731918
45,224.4536267,143.02788,103.34991,71.12075851,170.1697956,187.2726944,0.316582516,-4.256017871
46,222.4373033,144.5159533,103.93521,70.10564765,170.4897367,184.9643932,0.319183257,-4.248171505
47,223.96764,145.53861,104.06827,70.37901393,171.68162,185.754379,0.319671651,-4.243911944
48,224.3094967,144.49318,104.3558267,70.97961444,171.0986189,187.0703656,0.317775301,-4.252930679
49,222.0665233,145.53976,104.8948833,70.01754422,171.0486811,184.8326604,0.319902479,-4.247653314
50,221.9629233,144.2619433,103.1745067,69.72313753,170.16227,184.0337737,0.319746789,-4.250383419
51,219.3878167,145.90237,103.3153633,68.2905138,170.3975189,180.7279839,0.323229054,-4.242864125
52,222.8042733,144.78151,104.6233333,70.44399863,170.7890978,185.7884434,0.318696035,-4.249811691
53,223.93777,143.5149733,103.0615533,70.63672001,170.3225722,186.1733573,0.317822779,-4.253616147
54,223.96655,143.8933033,103.0346067,70.50871161,170.5843856,185.9114826,0.318358245,-4.251747954
55,223.4310933,144.87666,104.60933,70.64482609,171.0614711,186.2898662,0.318496177,-4.252325364
56,221.72629,145.7443467,103.8893533,69.41524847,171.0716611,183.4351033,0.321288242,-4.244758067
57,219.56594,140.6529267,100.68555,69.12989124,166.9572644,182.2374225,0.318079771,-4.169536819
58,217.4498867,142.0664,100.0407033,67.64507988,167.1942289,178.8191102,0.321745133,-4.164949086
59,216.2560767,142.7400433,101.69573,67.64935517,167.2453878,178.83557,0.321783257,-4.163628303
60,218.6668133,142.8003167,101.0508233,68.22738742,168.0891489,180.2890528,0.321236673,-4.165222756
61,218.8104,142.2681133,100.2004,68.12108474,167.7822089,180.0023913,0.3211944,-4.160887545
62,214.2984367,142.8556033,100.71406,66.49353419,166.6698811,176.0664881,0.323936908,-4.161190943
63,219.1847367,141.4834333,100.80893,68.78218582,167.3838678,181.4873399,0.319290291,-4.167318686
65,216.20439,143.4333933,100.7533667,67.0040274,167.6903922,177.3860431,0.323696873,-4.161584435
66,217.09307,143.4932733,101.23944,67.48549692,168.0265389,178.5521681,0.32289289,-4.162320648
67,213.0878267,144.4388,99.06096667,64.80836881,167.3218089,172.1933552,0.328480861,-4.154495003
68,216.9126767,142.4944633,100.7356,67.56798679,167.3005344,178.652986,0.322023894,-4.162524783
69,213.1492367,144.4955067,99.04889333,64.80531774,167.3800833,172.1930304,0.3285409,-4.154495781
70,215.4919133,143.27114,100.4954067,66.69354043,167.3447311,176.6175752,0.324098062,-4.160031364
71,215.0727433,142.1974667,100.2248767,66.81681226,166.4892256,176.7989693,0.323012602,-4.16413235
72,218.2462967,143.26966,99.23127333,67.17324735,168.2618722,177.8524185,0.32383371,-4.159363125
73,214.27953,138.9409267,98.86012,67.13272918,164.0537944,177.2241266,0.319953238,-4.085124699
74,212.4257167,140.8258767,97.52022667,65.26938526,164.69249,172.9595819,0.324967143,-4.081009101
75,213.4384067,140.4891033,95.9841,65.11600342,164.8055378,172.6142476,0.325436441,-4.076893261
76,208.9651533,142.8957433,95.95522667,62.61291551,164.91888,166.7376092,0.33149533,-4.073341739
77,211.7438433,141.0607667,97.99817,65.1310622,164.6217922,172.627092,0.325228594,-4.080629036
78,214.9445867,139.3559533,98.80447333,67.20473192,164.5521644,177.4559417,0.320263742,-4.085536144
79,212.4053767,141.0759167,97.44398,65.14359995,164.8524033,172.6846011,0.325414939,-4.079997052
80,209.50662,142.9856533,97.25276333,63.30002362,165.1593089,168.3876276,0.330075551,-4.072279613
81,212.1809667,141.43833,97.86740667,65.09659653,165.0192089,172.5947886,0.325682123,-4.077042569
82,208.9776633,142.9085067,95.95451667,62.61270952,164.9315589,166.7385621,0.33150732,-4.073345669
83,213.5600433,140.5669833,98.85431667,66.31393885,164.8980033,175.4259012,0.322692515,-4.083854561
84,211.8797367,140.58379,98.33080333,65.45702368,164.3491056,173.3562708,0.324199154,-4.084171148
85,214.1908833,139.84468,97.36983,66.1789342,164.6267478,175.0768639,0.322753728,-4.083269423
86,213.9473967,141.8623633,97.29104,65.30855999,165.8907078,173.1973264,0.325992538,-4.080779625
87,208.52913,138.4536233,95.6092,63.93509011,161.8121256,169.4832387,0.325432078,-4.001160749
88,207.79983,139.0415667,94.61203333,63.04982899,161.9609878,167.4239807,0.327711616,-3.996078174
89,205.36245,140.0216433,92.50354,60.94601462,161.8019122,162.4423005,0.332673691,-3.991675483
90,207.5835567,139.1484467,94.95956667,63.01577812,161.96015,167.3438424,0.327793192,-4.002716514
91,205.7637733,139.34281,92.70007333,61.42745625,161.4831311,163.545096,0.33120518,-3.993526046
92,207.3389833,139.5334767,94.43195,62.63116908,162.1353122,166.4596371,0.328888152,-3.995752644
93,208.2020033,138.0775567,95.58519667,63.92692284,161.4523722,169.4201789,0.325108197,-4.001797935
94,206.5968433,138.98315,92.38220333,61.6912009,161.5210478,164.1723267,0.330597592,-3.995128085
95,208.4314,138.79888,93.78749,63.00878102,162.00972,167.3332713,0.327856757,-3.996493819
96,205.9026433,139.57707,91.74858,60.96668621,161.6855944,162.4782066,0.332516303,-3.993026315
97,207.6969967,139.4230967,95.84600333,63.35198606,162.1810633,168.160108,0.32718892,-4.000975988
98,209.3999633,137.5397567,96.27274667,64.83790065,161.4931589,171.5545519,0.322949619,-4.002185576
99,203.0860733,136.3810533,90.65875667,60.70542256,158.61606,161.5117187,0.330290705,-3.913860782
100,204.3892667,136.33374,93.56718667,62.39365063,159.0189156,165.5313193,0.326507726,-3.916834881
101,203.5224733,136.2862933,93.45687333,62.03236051,158.6983533,164.6448366,0.327088275,-3.91484386
102,202.1049933,136.8575667,89.89071,59.77598773,158.6067089,159.3138036,0.332590306,-3.913671998
103,203.1842067,136.5689633,93.93734667,62.00228684,158.7740444,164.5832537,0.32723535,-3.916168263
104,205.5336667,135.67961,94.84908,63.54443957,158.9642956,168.218717,0.323630503,-3.916643054
105,202.1394367,136.89456,89.88741333,59.77366588,158.6428522,159.3123567,0.332629967,-3.913671364
106,205.0818433,135.96367,94.07507667,62.97775935,159.0030611,166.898311,0.325057549,-3.914823734
107,204.7987833,135.93882,94.20810667,62.92670862,158.8921411,166.7652203,0.325075028,-3.919009691
108,205.0058167,135.5848733,93.76941333,62.92523172,158.7251878,166.7413104,0.324916141,-3.914063181
109,192.0530567,136.5641,87.07060333,55.12061991,155.0604189,147.8434754,0.341090464,-3.83122722
110,193.8118,136.11277,87.45497333,56.04400029,155.34578,150.0834916,0.338979113,-3.832976652
111,195.0284767,135.4780033,88.32617333,57.0851241,155.3281611,152.5654426,0.336297722,-3.833908852
112,195.3004167,135.1821833,85.08245667,55.87895788,155.2215944,149.6760142,0.33928781,-3.830747128
113,190.4754767,137.1449733,88.65709667,54.85159638,154.9218078,147.1841247,0.341657622,-3.832506188
114,192.14475,136.65676,87.08239,55.12484663,155.1527567,147.8629344,0.341164134,-3.831230408
115,192.60297,136.25583,87.33972,55.53931552,155.03821,148.8444393,0.33999166,-3.83395223
116,193.0828433,136.3189833,86.59052,55.43294382,155.24027,148.6103207,0.340451277,-3.832066404
117,185.9624333,134.4974467,88.15428333,53.44094482,151.6524422,143.4702914,0.342325551,-3.749511593
118,185.2872367,134.66439,89.22936667,53.62759584,151.5386722,143.9071544,0.3417267,-3.749964916
119,188.7485633,133.2401533,87.97752333,55.19444113,151.7429567,147.6780303,0.33779804,-3.750780639
120,189.5539933,132.9796833,87.9369,55.77091986,151.8377867,149.0622737,0.33637991,-3.749572362
121,190.0241233,132.4931967,90.85576,57.1906544,151.6701722,152.4148167,0.332515062,-3.751592911
122,196.46469,124.63252,92.51166333,62.97878466,148.5765767,165.5457843,0.314298023,-3.66779279
123,196.49696,124.66439,92.51480333,62.98032025,148.60858,165.553735,0.314329098,-3.667792737
124,199.85734,123.2501133,93.06260667,65.00830266,148.7858556,170.232017,0.309309812,-3.667399583
125,175.5344633,129.2398933,82.48442667,49.68700032,144.6714167,133.7490827,0.345916254,-3.581363767
126,175.5391133,129.2474267,82.48617333,49.68642597,144.6779889,133.7483196,0.345924133,-3.581363758
2,260.0215367,154.0263833,112.9316767,83.31701725,189.3581011,217.9807515,0.308140634,-4.745889055
3,245.1838267,151.15749,98.94308667,73.25370311,182.4996022,193.8275613,0.322988143,-4.608032685
4,243.7899067,152.87771,96.57432333,71.17893294,183.1817756,189.0503683,0.327993835,-4.608112533
5,226.47276,149.60942,86.40758333,61.85212935,175.2305333,166.0224246,0.342091423,-4.474169203
6,226.7968933,149.5263633,86.82594667,62.27519365,175.2832067,167.0430468,0.341168425,-4.474225082
7,225.9531567,149.0491267,86.43989667,61.88763691,174.6838033,166.0529549,0.341568068,-4.474169451
8,229.8432067,150.1299133,83.92520333,61.94733948,176.7010111,166.3970199,0.34305219,-4.472681939
9,229.7200467,149.04454,84.02032667,62.29525044,175.9363756,167.1568777,0.341650258,-4.472709639
10,217.6939633,146.7691567,79.18056,57.09611893,170.4107589,154.0801714,0.349305122,-4.346107386
11,215.5750833,147.16926,75.41761333,54.64068997,169.9712011,148.0567845,0.354821696,-4.337372877
12,218.9597267,142.9307433,84.66800333,61.34890947,168.2737378,164.1038426,0.337463405,-4.343520566
13,220.27274,148.73391,76.93488,56.24413423,172.5801867,152.1984986,0.353016636,-4.344054436
14,216.4461533,146.3085133,76.67228,55.67821395,169.6877267,150.5665901,0.352114044,-4.344026258
15,215.8193467,145.5993467,78.81582,56.72109332,169.0060133,153.0421565,0.349076222,-4.346039931
16,215.0607667,145.17952,79.00116667,56.64383947,168.4732689,152.8061026,0.348832495,-4.344988233
17,224.5066,145.9122667,84.10086,61.48698261,172.1103778,164.8320252,0.340381478,-4.340516734
18,205.93245,147.9653267,71.30271333,49.19728415,167.2877011,134.4152234,0.366083776,-4.219413148
19,207.7550433,141.0999767,67.2535,49.6882956,163.3183322,135.3395607,0.361885723,-4.221530629
20,204.3727767,145.0857167,71.28937667,48.88600879,164.84807,133.4649331,0.365062688,-4.216174091
21,211.42958,145.55664,74.23196,53.44234464,167.5142867,144.9160976,0.355817176,-4.222120895
22,202.38357,143.6614067,70.71118,46.05486559,163.2354611,126.2877543,0.37105768,-4.211904046
23,206.8002567,146.6266367,68.96685667,48.58967777,166.68451,132.8592401,0.367154982,-4.217904919
24,206.53783,146.30948,73.26969,50.56156819,166.3855967,137.7331666,0.362034165,-4.222156412
25,204.3893,145.1688167,71.28922,48.86254726,164.9089778,133.4110704,0.365166962,-4.216174118
26,210.26253,145.9074233,73.80551,52.66877419,167.3591256,143.0048677,0.357586824,-4.213496119
27,205.6333667,145.2587633,71.18787,49.12120353,165.3836311,134.0882606,0.364871491,-4.216169454
28,201.56329,142.03653,64.69438333,47.24310985,161.8787833,129.1641346,0.367015582,-4.104395281
29,199.17448,141.5057133,64.87522667,46.13514036,160.7286356,126.3192974,0.369013906,-4.098059388
30,200.39243,144.1599733,68.88350333,47.80867854,162.9041256,130.6455321,0.366336993,-4.092911476
31,197.8833633,144.64388,66.34119333,45.78479776,162.3903744,125.5546499,0.371139068,-4.09954291
32,199.2983533,144.1008167,64.51607,44.99180496,162.4999956,123.5709432,0.373260568,-4.100456271
33,201.6496367,145.53825,68.86718667,47.75926333,164.2420456,130.6172413,0.367454523,-4.092894333
34,201.04909,145.2707133,67.52898667,47.21768461,163.8635056,129.2394914,0.368549649,-4.099049358
35,198.47628,146.0409033,67.05433,41.66151618,163.5193622,115.200907,0.382581788,-4.095767424
36,198.4240367,142.40051,63.31857333,43.45724405,161.0750189,119.6145904,0.376233042,-4.095212383
37,198.3598633,148.86256,68.45945667,43.31402558,165.3616611,119.5076593,0.379549207,-4.100744881
38,197.4743967,143.84608,69.29821667,44.4296596,161.7221856,122.106905,0.374159808,-4.09322826
39,191.6170333,136.07811,63.70644,40.7815901,154.5910844,112.4560251,0.378759691,-4.091205058
40,192.1467833,136.2718033,59.65815333,43.61293372,154.8967967,119.6127011,0.371298499,-3.984458121
41,192.7513467,145.6791933,64.54850667,42.61160711,161.3699111,117.4930205,0.378650425,-3.976480967
42,185.90491,145.7049733,63.92859333,32.26242425,159.1049522,90.65946413,0.405031801,-3.979406583
43,198.09342,142.07007,63.46914333,44.8997805,160.74452,123.2260189,0.37223409,-3.97952305
44,195.7232167,139.2379267,59.84465667,43.6275253,158.0663567,119.8555585,0.373623162,-3.984475938
45,191.6827733,135.8334067,59.69691,43.63604455,154.4498622,119.6409245,0.370895618,-3.984454591
46,188.4084833,137.2913767,62.65745333,25.93954351,154.3304122,73.69007115,0.420419583,-3.975412428
47,191.0377633,138.57884,62.32341333,43.64975577,156.0651478,119.7820168,0.37208118,-3.982068761
48,193.84133,138.5716367,56.80423333,41.78438216,156.9948678,115.1384027,0.377768401,-3.976798338
49,193.7250367,143.82715,62.63344,42.93794634,160.4597789,118.2648797,0.377160411,-3.98283339
50,195.28973,144.3817633,65.03977667,43.96099162,161.3510856,120.9027667,0.375114189,-3.980887804
51,193.7046333,143.3588033,63.82304333,42.81102182,160.1407467,117.9246533,0.377269781,-3.970980365
52,190.73424,135.82041,59.39167333,43.2868648,154.12502,118.7439615,0.371593462,-3.984411069
53,190.18689,139.4563467,59.01754667,38.5448793,156.3665278,106.8546285,0.386106669,-3.972744264
54,185.02724,139.3541867,56.72634667,35.94799324,154.5785378,100.085521,0.392087735,-3.860901921
55,183.5561467,139.5584467,55.31916,37.65249247,154.2243467,104.4567508,0.387116017,-3.867818366
56,182.9341567,139.7755167,59.71622,36.56120173,154.16173,101.6479506,0.390106805,-3.861971919
57,185.60103,140.7417167,58.06688667,39.03279116,155.6948211,108.067509,0.384316952,-3.86734138
58,192.1146533,140.2145367,61.05260667,37.45403542,157.5145756,104.1102773,0.389840589,-3.864908288
59,183.9762633,140.7825767,59.69011,36.43794273,155.1804722,101.3788983,0.391117208,-3.861980219
60,187.12636,138.21605,55.70865,38.75708933,154.5194867,107.3001423,0.384264714,-3.867792321
61,185.9374833,143.3344633,59.44937333,36.98819074,157.53547,102.9103684,0.391124659,-3.864364899
62,184.62052,138.6048133,55.79408333,38.22343108,153.9433822,105.9050484,0.385341993,-3.86580365
63,190.54079,138.3926267,60.25345,42.11809282,155.7753478,115.9079884,0.375988092,-3.854858496
64,188.5181533,142.28557,58.85278333,38.96536144,157.6964311,108.0007484,0.385855852,-3.864888896
65,187.7215433,136.8952033,53.17671,39.30547653,153.8373167,108.6620362,0.382276032,-3.864745529
66,189.13112,141.3590567,61.39740667,41.88878357,157.2830778,115.4198624,0.37769413,-3.867842204
67,184.9266167,141.1270633,59.25952,36.42326914,155.7269144,101.366845,0.391512176,-3.864462991
68,185.0150633,137.67526,56.75103,32.24587602,153.4551944,90.40527525,0.401811431,-3.858952799
69,180.7005533,129.5132033,59.99805,31.92312508,146.5756533,89.28732883,0.398474125,-3.863111741
70,183.9132867,141.11076,52.74344,34.90990419,155.3782689,97.43275053,0.395488656,-3.753609678
71,177.8205333,140.2461867,51.31019,33.97382921,152.7709689,94.88765357,0.396481583,-3.749976203
72,182.66022,134.3820033,49.33921667,36.45704989,150.4747422,101.1983633,0.387912126,-3.763505149
73,179.63791,137.07989,51.7055,36.19507792,151.2658967,100.564195,0.389197106,-3.745333873
74,181.3835633,139.8779,54.37347333,35.00100419,153.7131211,97.59540955,0.394180136,-3.754329823
75,181.4172867,136.9145167,53.04568,37.00048324,151.7487733,102.6578561,0.387250208,-3.761337076
76,175.6971433,128.8577867,51.77794667,28.85992505,144.4709056,81.17455409,0.406354208,-3.755264832
77,186.0107833,136.2298033,50.12051,37.36993993,152.8234633,103.6604522,0.386949676,-3.76367608
78,178.6222033,144.4916133,56.68213,24.79619422,155.8684767,70.64254762,0.424463508,-3.753590424
79,180.87273,135.4504233,50.60028,36.49118521,150.5911922,101.2918884,0.387895294,-3.759129137
81,182.7114433,137.4086967,56.15938667,29.61309921,152.5096122,83.43880396,0.408815798,-3.752586104
82,181.2180367,132.4429,51.73954,35.78780599,148.7012789,99.39004631,0.388602117,-3.753632525
83,178.0036933,133.79732,49.49762,33.79993661,148.5327778,94.25062437,0.39424262,-3.749603541
84,172.53498,135.0246167,44.84365,30.79364484,147.5280711,86.37147372,0.402423684,-3.639127576
85,173.9294967,139.86514,50.35917,30.90593721,151.2199256,86.80420533,0.40432896,-3.642956233
86,175.0100967,134.60897,44.71032,31.05972735,148.0760122,87.08998682,0.401976035,-3.642979277
87,177.4224667,132.0876733,46.29979667,34.26661068,147.1992711,95.39729963,0.391986218,-3.660822264
88,175.65589,138.4388233,46.42901667,31.01512978,150.8445122,87.07739683,0.403789013,-3.646589564
90,180.6380667,135.9386967,44.88704333,32.86059971,150.8384867,91.90768126,0.398448021,-3.653662189
92,175.5371633,138.0300433,49.28344,32.28634645,150.5324167,90.39627739,0.399914938,-3.637637001
93,175.8453633,135.49452,45.20963667,32.38088531,148.9448011,90.57866419,0.398644035,-3.659959677
94,182.9530067,135.6700933,53.72800333,28.42748497,151.4310644,80.26015979,0.4116648,-3.642622328
95,176.9004533,132.1582567,43.05151667,30.23133697,147.0723222,84.87831238,0.403813408,-3.661511806
96,175.3313167,136.71522,47.22192667,28.94842372,149.5872522,81.58259557,0.409102553,-3.542192796
97,168.5296533,134.75427,41.56826333,28.66197085,146.0127311,80.70516506,0.407878849,-3.537799055
98,175.6122167,139.1953567,41.79077333,29.86547371,151.33431,84.06632341,0.407416541,-3.543582187
99,167.4901467,132.2903,41.47484333,28.26675514,144.0235822,79.59315471,0.407893377,-3.537650451
100,173.76931,139.2260967,43.57503333,29.34767732,150.7405011,82.67753393,0.408587348,-3.541612906
101,176.7656167,138.48434,46.22725,28.20884841,151.2447656,79.67322778,0.412202771,-3.535380629
102,171.5533433,132.35156,40.21299667,29.7447842,145.4188211,83.5385383,0.404255243,-3.541491013
103,176.1170667,141.53463,44.81855667,29.15194493,153.0621089,82.23505275,0.410455682,-3.540074259
104,173.2320033,135.90147,42.89872333,30.63319034,148.3449811,85.98120725,0.403399487,-3.543703158
105,176.6148467,141.05536,44.65941333,27.90462431,152.9085222,78.91350456,0.41398615,-3.536041561
106,173.27195,131.5987533,43.17168333,24.42078422,145.4898189,69.38046507,0.420520825,-3.436955321
107,172.52547,138.4493333,39.83086667,21.11690526,149.8080456,60.50766716,0.432683114,-3.435948647
108,169.0005867,134.80358,36.73209,23.74402345,146.2025822,67.57395534,0.422967668,-3.434276898
109,167.7489667,139.3238333,37.31327333,21.85406316,148.7988778,62.50228964,0.429992427,-3.435718706
110,171.01162,136.32576,38.14321667,27.39998408,147.8877133,77.41868775,0.412750598,-3.444220936
111,168.0821533,136.8735433,37.05692333,24.1044081,147.2764133,68.5722035,0.422399654,-3.434750744
112,182.9182267,128.39242,51.31614667,30.05460841,146.5676889,84.39523728,0.404031557,-3.441180928
113,169.2972667,134.5966667,38.14809,27.40848319,146.1635333,77.38818989,0.411756159,-3.44422094
114,164.14579,135.57051,36.16173333,23.31970405,145.0956033,66.401758,0.42372643,-3.337414086
115,163.8208833,136.7275433,32.31314,20.38833847,145.7586567,58.44019503,0.433176988,-3.332215204
116,171.45049,132.3493167,42.07269333,28.43914174,145.3830411,80.09483452,0.408179531,-3.335028826
117,171.53266,132.42069,42.07604333,28.44497649,145.4580133,80.1127893,0.408206284,-3.335028813
118,165.3855667,140.8475,36.95759667,20.4297353,149.0268556,58.61092854,0.434451492,-3.333611906
119,163.82155,133.15327,34.54434,24.40032153,143.37603,69.27133769,0.41947592,-3.234558827
120,164.3853167,132.143,32.52842,23.87911288,142.8904389,67.85734864,0.420851541,-3.238993648
121,159.9210733,131.8327833,33.37468333,23.56221812,141.1955467,66.96186712,0.420958476,-3.136125994
1,161.78297,128.6072867,38.89542,27.63126418,139.6658478,77.76546172,0.407200576,-3.071759051
2,189.72491,118.4796233,85.05202,59.96956384,142.2280522,157.7388296,0.315157386,-3.472832246
3,188.33637,118.99054,77.81074,56.146407,142.1058167,148.8372199,0.325438508,-3.453494594
4,188.3386367,118.99619,77.80424667,56.14259062,142.1103389,148.8288315,0.325453901,-3.453494818
5,183.2270433,121.15067,72.16466,51.27600812,141.8427944,137.285209,0.338688541,-3.432310639
6,183.2250733,120.23977,71.55123333,51.42904192,141.2348711,137.5869005,0.337638184,-3.422460821
8,183.2831467,120.29417,71.54742333,51.42862019,141.2904956,137.5917576,0.337696375,-3.422460767
9,183.2043867,121.1300867,72.15463333,51.27101833,141.82152,137.2710717,0.338680956,-3.432311114
10,177.1981067,122.7076067,64.75236,45.62487209,140.8711067,123.5376289,0.353840824,-3.401967298
11,172.9162267,124.7010167,64.80367,43.08388757,140.7727533,117.286389,0.361139808,-3.401504969
12,183.7337867,120.2559433,69.99264667,50.93946922,141.4152244,136.436396,0.339201193,-3.406335235
13,187.0648333,119.6464233,66.24203,50.49200019,142.1192267,135.4367191,0.341170072,-3.415799406
14,186.79213,118.08481,68.99882,52.08517661,140.98725,139.1233342,0.335536743,-3.400731524
15,174.8986367,124.2255333,64.86541667,43.40790882,141.1165678,118.1130731,0.360501765,-3.401562608
16,184.8652867,119.9230167,67.53105667,50.27722876,141.57044,134.8662504,0.341225976,-3.409530068
18,174.6580367,122.6310467,58.99319,42.43843542,139.9733767,115.6294356,0.362319728,-3.374529303
19,177.4560533,123.0024233,62.29167,44.44298853,141.1536333,120.6649595,0.357525264,-3.387668591
20,174.61005,122.5839967,58.98166,42.43383748,139.9260144,115.6144661,0.362290956,-3.374529521
21,181.8097667,119.9308567,63.98779667,47.72768415,140.55716,128.6244507,0.34748263,-3.375734511
22,175.67296,122.3675,63.07177667,44.50793894,140.1359867,120.7411396,0.356400032,-3.37714456
23,183.8160567,119.02653,63.03193333,48.1560512,140.6230389,129.6667849,0.346318704,-3.375924914
24,177.47158,123.0229,62.29593333,44.44306735,141.17246,120.6666816,0.357542232,-3.387675346
25,170.39469,124.6000567,60.86279667,38.51162795,139.8649344,105.8222141,0.373899518,-3.366169496
26,170.4310633,124.6122233,60.85062333,38.5185948,139.88517,105.8410354,0.373895335,-3.366173176
27,175.94828,122.4037267,60.01431667,43.26846393,140.2519111,117.7015404,0.360130794,-3.369240412
28,173.7514067,122.92506,58.17684333,41.4595742,139.8671756,113.1943289,0.365116877,-3.354099306
29,182.9393733,120.3560067,56.32276667,44.47901235,141.2171289,120.7586303,0.357478774,-3.363337739
30,176.82018,120.0435067,57.19624,43.14935298,138.9690644,117.3069427,0.359312882,-3.340510501
31,170.4786633,124.6765267,56.93158,39.01316116,139.9439056,107.0882332,0.372462907,-3.356036208
32,182.94627,120.3612467,56.32399,44.48002196,141.2229211,120.7615815,0.357481136,-3.363316979
33,179.4862167,121.3618333,57.49026667,43.42459724,140.7366278,118.1245906,0.360111528,-3.360190042
34,173.3201133,123.2392333,56.46607667,40.56402995,139.93286,110.9694085,0.367830176,-3.354080431
35,178.2164133,120.8684567,57.13440667,43.2409012,139.9844422,117.6126075,0.35996943,-3.349838834
36,183.35969,119.6960767,61.85134333,47.31296407,140.9172811,127.6524585,0.349021997,-3.355623956
37,180.8584933,120.1654967,58.26194333,44.75055361,140.3964956,121.3576495,0.355934617,-3.352785273
39,177.09793,121.96588,55.94054,42.06436663,140.34323,114.7305627,0.363750033,-3.355163403
40,177.5803833,121.9894333,52.80055667,40.78123475,140.51975,111.5522475,0.367690903,-3.334387453
41,171.42477,123.27739,51.30929333,37.33622019,139.3265167,102.82387,0.376998923,-3.306473941
43,176.19753,121.8892167,50.37225,39.26243674,139.9919878,107.7171227,0.371757991,-3.329565649
44,175.20536,122.8485667,51.50974333,39.22925645,140.3008311,107.6541134,0.372115139,-3.335415314
